"order","canonical_id","learner_title","start_year","end_year","date_display","chapter","scope","inclusion_rationale","prerequisites","predecessor","successor","legacy_aliases","research_status","readiness"
"146","lesson.russia.revolution-and-soviet-state","The Russian Revolution and the Soviet State","1917","1928","1917–1928 CE","11","War, revolution, civil war, Bolshevik rule, and the creation of the Soviet Union.","Explains a new political-economic model central to the twentieth century.","lesson.world-war-one.global-industrial-war","lesson.ottoman.genocide-and-collapse","lesson.disease.influenza-pandemic","None","Source brief required","Planned"
"147","lesson.disease.influenza-pandemic","The Influenza Pandemic","1918","1920","1918–1920 CE","11","Global influenza transmission, wartime conditions, public health responses, and unequal mortality.","Connects mobility, war, and disease through teachable evidence.","lesson.world-war-one.global-industrial-war","lesson.russia.revolution-and-soviet-state","lesson.postwar.versailles-mandates-and-league","None","Source brief required","Planned"
"148","lesson.postwar.versailles-mandates-and-league","Versailles, Mandates, and the League","1919","1923","1919–1923 CE","11","Peace settlements, new borders, mandates, minority claims, reparations, and the League of Nations.","Explains both institution building and grievances carried into later conflict.","lesson.world-war-one.global-industrial-war","lesson.disease.influenza-pandemic","lesson.anticolonial.nationalism-between-wars","None","Framing review","Planned"
"149","lesson.anticolonial.nationalism-between-wars","Anticolonial Nationalism Between the Wars","1919","1939","1919–1939 CE","11","Self-determination claims, mass movements, labor, civil disobedience, and varied imperial responses.","Builds the causal bridge from world war to post-1945 decolonization.","lesson.postwar.versailles-mandates-and-league","lesson.postwar.versailles-mandates-and-league","lesson.dictatorships.fascism-nazism-and-stalinism","gandhi_salt","Source brief required","Planned"
"150","lesson.dictatorships.fascism-nazism-and-stalinism","Fascism, Nazism, and Stalinism","1922","1939","1922–1939 CE","11","Fascist, Nazi, and Stalinist rule; propaganda, repression, mass politics, and distinct ideologies.","Provides comparative explanation without falsely equating different systems or experiences.","lesson.postwar.versailles-mandates-and-league|lesson.world-war-one.global-industrial-war","lesson.anticolonial.nationalism-between-wars","lesson.economy.great-depression","mussolini","Framing review","Planned"
"151","lesson.economy.great-depression","The Great Depression","1929","1939","1929–1939 CE","11","Financial collapse, unemployment, trade contraction, state responses, and global political effects.","Explains how economic crisis weakened democracies and intensified conflict.","lesson.industry.steel-electricity-and-corporations","lesson.dictatorships.fascism-nazism-and-stalinism","lesson.japan.empire-and-war-in-china","None","Source brief required","Planned"
"152","lesson.japan.empire-and-war-in-china","Japanese Empire and War in China","1931","1945","1931–1945 CE","11","Manchuria, expansion, colonial rule, the war in China, and the Nanjing Massacre.","Makes East Asian war central to the chronology of the Second World War.","lesson.japan.imperial-power","lesson.economy.great-depression","lesson.holocaust.persecution-to-genocide","None","Source brief required","Planned"
"153","lesson.holocaust.persecution-to-genocide","The Holocaust: Persecution to Genocide","1933","1945","1933–1945 CE","11","Nazi racial ideology, escalating persecution, ghettos, mass shootings, camps, resistance, and murder.","Essential for understanding state-organized genocide through survivor and documentary evidence.","lesson.dictatorships.fascism-nazism-and-stalinism","lesson.japan.empire-and-war-in-china","lesson.world-war-two.global-war","None","Source set identified","Planned"
"154","lesson.world-war-two.global-war","The Second World War as a Global War","1939","1945","1939–1945 CE","11","European, African, Asian, Atlantic, and Pacific theaters; occupation, resistance, and civilian war.","Explains the war as one connected global conflict rather than disconnected battles.","lesson.japan.empire-and-war-in-china","lesson.holocaust.persecution-to-genocide","lesson.world-war-two.science-production-and-home-fronts","None","Source brief required","Planned"
"155","lesson.world-war-two.science-production-and-home-fronts","Science, Production, and Home Fronts","1939","1945","1939–1945 CE","11","Mass production, codebreaking, medicine, forced labor, rationing, and mobilized societies.","Shows how institutions and civilian systems shaped military outcomes and postwar change.","lesson.world-war-two.global-war","lesson.world-war-two.global-war","lesson.postwar.un-and-global-economic-order","None","Source brief required","Planned"
"156","lesson.postwar.un-and-global-economic-order","The United Nations and a Postwar Economic Order","1944","1948","1944–1948 CE","11","Bretton Woods institutions, the United Nations, war-crimes trials, and universal human rights claims.","Explains how wartime experience produced durable institutions and contested global rules.","lesson.world-war-two.global-war","lesson.world-war-two.science-production-and-home-fronts","lesson.nuclear.hiroshima-nagasaki-and-nuclear-age","None","Source set identified","Planned"
"157","lesson.nuclear.hiroshima-nagasaki-and-nuclear-age","Hiroshima, Nagasaki, and the Nuclear Age","1945","1945","August 1945","11","Atomic bombings, Japanese surrender, civilian harm, decision debates, and the nuclear threshold.","Introduces a defining and contested transition with evidence and moral seriousness.","lesson.world-war-two.global-war","lesson.postwar.un-and-global-economic-order","lesson.food.green-revolution","None","Framing review","Research required"
"158","lesson.food.green-revolution","The Green Revolution and the Politics of Food","1940","1980","c. 1940–1980 CE","12","Crop science, irrigation, fertilizer, rising yields, regional differences, and environmental costs.","Connects technology to hunger, population, inequality, and ecological tradeoffs.","lesson.farming.multiple-origins","lesson.nuclear.hiroshima-nagasaki-and-nuclear-age","lesson.digital.computers-networks-and-web","green_revolution","Source brief required","Planned"
"159","lesson.digital.computers-networks-and-web","Computers, Networks, and the World Wide Web","1940","1995","c. 1940–1995 CE","12","Electronic computing, packet networks, software, the public web, and institutional origins.","Explains the infrastructure behind contemporary information and economic change.","lesson.world-war-two.science-production-and-home-fronts","lesson.food.green-revolution","lesson.china.revolution-and-peoples-republic","None","Source set identified","Planned"
"160","lesson.china.revolution-and-peoples-republic","The Chinese Revolution and the People's Republic","1945","1949","1945–1949 CE","12","Civil war, Communist victory, Nationalist retreat to Taiwan, land and state transformation.","Explains the political order of modern China and a major Cold War shift.","lesson.china.reform-republic-and-new-culture","lesson.digital.computers-networks-and-web","lesson.cold-war.nuclear-bipolar-order","mao","Source brief required","Planned"
"161","lesson.cold-war.nuclear-bipolar-order","The Cold War and a Nuclear Bipolar Order","1945","1962","c. 1945–1962 CE","12","US-Soviet rivalry, blocs, nuclear deterrence, propaganda, aid, and proxy conflict.","Provides the organizing prerequisite for much postwar political history.","lesson.postwar.un-and-global-economic-order","lesson.china.revolution-and-peoples-republic","lesson.korea.division-and-war","None","Source set identified","Planned"
"162","lesson.korea.division-and-war","Korea: Division and War","1945","1953","1945–1953 CE","12","Colonial aftermath, division, invasion, international intervention, devastation, and armistice.","Shows Cold War conflict emerging from both global rivalry and local histories.","lesson.cold-war.nuclear-bipolar-order","lesson.cold-war.nuclear-bipolar-order","lesson.decolonization.asia-africa-and-caribbean","None","Source brief required","Planned"
"163","lesson.decolonization.asia-africa-and-caribbean","Decolonization Across Asia, Africa, and the Caribbean","1945","1975","c. 1945–1975 CE","12","Negotiated independence, armed struggle, new states, borders, and economic constraints.","Explains a worldwide transfer of sovereignty without treating it as a single European withdrawal.","lesson.anticolonial.nationalism-between-wars","lesson.korea.division-and-war","lesson.rights.civil-rights-and-global-freedom-struggles","None","Source set identified","Planned"
"164","lesson.rights.civil-rights-and-global-freedom-struggles","Civil Rights and Global Freedom Struggles","1945","1975","c. 1945–1975 CE","12","US civil rights, anti-apartheid, women's, Indigenous, labor, and anticolonial rights movements.","Shows how rights claims circulated globally while retaining distinct local struggles.","lesson.postwar.un-and-global-economic-order","lesson.decolonization.asia-africa-and-caribbean","lesson.cold-war.vietnam-and-third-world","None","Framing review","Planned"
"165","lesson.cold-war.vietnam-and-third-world","Vietnam, Decolonization, and Cold War","1945","1975","1945–1975 CE","12","Vietnamese anticolonial war, divided Vietnam, US intervention, regional conflict, and global protest.","Explains how local decolonization and Cold War rivalry combined destructively.","lesson.decolonization.asia-africa-and-caribbean","lesson.rights.civil-rights-and-global-freedom-struggles","lesson.south-asia.independence-and-partition","None","Source brief required","Planned"
"166","lesson.south-asia.independence-and-partition","Independence and Partition in South Asia","1947","1948","1947–1948 CE","12","End of British rule, Partition, mass migration, violence, and the creation of India and Pakistan.","A central decolonization case showing freedom, state formation, and human cost together.","lesson.anticolonial.nationalism-between-wars","lesson.cold-war.vietnam-and-third-world","lesson.israel-palestine.1948-war-and-displacement","None","Source brief required","Planned"
"167","lesson.israel-palestine.1948-war-and-displacement","The 1948 War, Israel, and Palestinian Displacement","1947","1949","1947–1949 CE","12","UN partition, Israel's establishment, regional war, Palestinian displacement, and conflicting memories.","Necessary for later Middle Eastern history, but requires tightly balanced terminology and sources.","lesson.postwar.un-and-global-economic-order","lesson.south-asia.independence-and-partition","lesson.south-africa.apartheid-ends","None","Framing review","Research required"
"168","lesson.south-africa.apartheid-ends","Ending Apartheid in South Africa","1948","1994","1948–1994 CE","12","Apartheid rule, resistance, international pressure, negotiation, and democratic transition.","A high-leverage case of institutional racism, sustained resistance, and negotiated change.","lesson.rights.civil-rights-and-global-freedom-struggles","lesson.israel-palestine.1948-war-and-displacement","lesson.china.maoist-transformation-and-cultural-revolution","None","Source brief required","Planned"
"169","lesson.china.maoist-transformation-and-cultural-revolution","Maoist Transformation and the Cultural Revolution","1949","1976","1949–1976 CE","12","Land reform, collectivization, famine, Cultural Revolution, mobilization, and political violence.","Explains modern China's social transformation and the costs of Maoist campaigns.","lesson.china.revolution-and-peoples-republic","lesson.south-africa.apartheid-ends","lesson.environment.modern-environmentalism","None","Source brief required","Planned"
"170","lesson.environment.modern-environmentalism","Modern Environmentalism and Climate Evidence","1950","1992","c. 1950–1992 CE","12","Pollution, conservation, environmental justice, climate measurement, and international cooperation.","Connects industrial consequences to evidence and collective political action.","lesson.environment.fossil-energy-and-planetary-change","lesson.china.maoist-transformation-and-cultural-revolution","lesson.middle-east.wars-oil-and-regional-order","chernobyl|earth_day","Source set identified","Planned"
"171","lesson.middle-east.wars-oil-and-regional-order","Middle East Wars, Oil, and Regional Order","1956","1979","c. 1956–1979 CE","12","Arab-Israeli wars, Palestinian politics, superpower involvement, oil, and changing regional states.","Provides a causal bridge from 1948 to later regional and global politics.","lesson.israel-palestine.1948-war-and-displacement","lesson.environment.modern-environmentalism","lesson.space.space-race-and-earth-view","None","Framing review","Research required"
"172","lesson.space.space-race-and-earth-view","The Space Race and the View of Earth","1957","1975","1957–1975 CE","12","Satellites, Apollo, military competition, science, prestige, and new views of Earth.","A high-interest case linking Cold War institutions to durable technologies.","lesson.cold-war.nuclear-bipolar-order","lesson.middle-east.wars-oil-and-regional-order","lesson.cold-war.cuban-missile-crisis","None","Source brief required","Planned"
"173","lesson.cold-war.cuban-missile-crisis","The Cuban Missile Crisis","1959","1962","1959–1962 CE","12","Cuban Revolution, invasion, missiles, nuclear brinkmanship, and negotiated retreat.","A memorable evidence-rich case for escalation, perspective, and contingency.","lesson.cold-war.nuclear-bipolar-order","lesson.space.space-race-and-earth-view","lesson.globalization.production-finance-and-inequality","None","Source brief required","Planned"
"174","lesson.globalization.production-finance-and-inequality","Globalization: Production, Finance, and Inequality","1970","2008","c. 1970–2008 CE","12","Trade liberalization, global supply chains, migration, finance, growth, and unequal gains.","Explains the material systems behind late twentieth-century interdependence.","lesson.digital.computers-networks-and-web","lesson.cold-war.cuban-missile-crisis","lesson.iran.revolution-and-political-islam","None","Source brief required","Planned"
"175","lesson.iran.revolution-and-political-islam","The Iranian Revolution and Political Islam","1978","1980","1978–1980 CE","12","Monarchy, protest coalitions, Islamic Republic, hostage crisis, and regional consequences.","Explains a major political realignment without treating political Islam as timeless.","lesson.middle-east.wars-oil-and-regional-order","lesson.globalization.production-finance-and-inequality","lesson.cold-war.1989-and-soviet-collapse","None","Source brief required","Planned"
"176","lesson.cold-war.1989-and-soviet-collapse","1989 and the Soviet Collapse","1980","1991","1980–1991 CE","12","Reform, economic strain, Eastern European movements, 1989, and Soviet dissolution.","Explains the end of bipolar order as a process rather than one wall falling.","lesson.cold-war.nuclear-bipolar-order","lesson.iran.revolution-and-political-islam","lesson.health.hiv-aids-pandemic","None","Source brief required","Planned"
"177","lesson.health.hiv-aids-pandemic","The HIV/AIDS Pandemic","1981","2005","c. 1981–2005 CE","12","Virus science, stigma, activism, public policy, treatment access, and global inequality.","A consequential pandemic history with strong evidence and a powerful citizenship dimension.","lesson.rights.civil-rights-and-global-freedom-struggles","lesson.cold-war.1989-and-soviet-collapse","lesson.climate.climate-crisis-and-global-response","None","Source brief required","Planned"
"178","lesson.climate.climate-crisis-and-global-response","The Climate Crisis and Global Response","1988","2025","1988–2025 CE","12","Attribution science, unequal impacts, emissions, international negotiations, mitigation, and adaptation.","Brings the fossil-energy causal thread to a planetary challenge grounded in strong evidence.","lesson.environment.modern-environmentalism","lesson.health.hiv-aids-pandemic","lesson.genocide.rwanda-balkans-and-response","None","Source set identified","Planned"
"179","lesson.genocide.rwanda-balkans-and-response","Rwanda, the Balkans, and International Response","1991","1999","1991–1999 CE","12","Mass violence in Rwanda and the former Yugoslavia, international failure, tribunals, and memory.","Tests post-Holocaust institutions and shows the consequences of delayed action.","lesson.postwar.un-and-global-economic-order","lesson.climate.climate-crisis-and-global-response","lesson.digital.platforms-divides-and-ai","None","Framing review","Research required"
"180","lesson.digital.platforms-divides-and-ai","Platforms, Digital Divides, and AI","1995","2026","c. 1995–present","12","Platforms, smartphones, digital divides, data power, gene-editing debates, and generative AI.","Offers a provisional synthesis of technologies reshaping work, knowledge, politics, and access.","lesson.digital.computers-networks-and-web","lesson.genocide.rwanda-balkans-and-response","lesson.security.september-11-and-war-on-terror","None","Framing review","Research required"
"181","lesson.security.september-11-and-war-on-terror","September 11 and the War on Terror","2001","2021","2001–2021 CE","12","Al-Qaeda's attacks, wars in Afghanistan and Iraq, security states, civilian consequences, and contested outcomes.","Provides essential context for twenty-first-century conflict with room for multiple regional perspectives.","lesson.cold-war.1989-and-soviet-collapse","lesson.digital.platforms-divides-and-ai","lesson.economy.global-financial-crisis","None","Framing review","Research required"
"182","lesson.economy.global-financial-crisis","The Global Financial Crisis","2007","2012","2007–2012 CE","12","Housing and credit systems, banking contagion, state rescue, recession, and political consequences.","Explains a globally connected crisis with lasting effects on trust and inequality.","lesson.globalization.production-finance-and-inequality","lesson.security.september-11-and-war-on-terror","lesson.middle-east.arab-uprisings","None","Source brief required","Planned"
"183","lesson.middle-east.arab-uprisings","Arab Uprisings and Diverging Outcomes","2010","2016","2010–2016 CE","12","Protest, digital media, state repression, civil war, and divergent national outcomes.","Shows both shared causes and why similar uprisings produced different results.","lesson.security.september-11-and-war-on-terror","lesson.economy.global-financial-crisis","lesson.health.covid-pandemic","None","Framing review","Research required"
"184","lesson.health.covid-pandemic","The COVID-19 Pandemic","2019","2023","2019–2023 CE","12","Emergence, global spread, public health, vaccines, inequality, institutions, and contested memory.","A globally shared event that reveals interdependence and the limits of real-time historical judgment.","lesson.health.hiv-aids-pandemic","lesson.middle-east.arab-uprisings","lesson.history.new-evidence-changes-the-past","None","Source set identified","Research required"
"185","lesson.history.new-evidence-changes-the-past","New Evidence Changes How We Know the Past","2024","2026","Capstone (present)","12","LiDAR, ancient DNA, remote sensing, source criticism, and how new evidence revises historical models.","Ends the Spine by returning to historical method: the past is fixed, but warranted accounts can change.","lesson.humans.homo-sapiens-origins|lesson.health.covid-pandemic","lesson.health.covid-pandemic","—","None","Source brief required","Research required"
